"producto","presentacion","marca","categoria","catalogo","precio","fechaRegistro","cadenaComercial","giro","nombreComercial","direccion","estado","municipio","latitud","longitud"
"MARGARINA","BARRA 90 GR. SIN SAL","IBERIA. 4 EN 1","ACEITES Y GRASAS VEG. COMESTIBLES","MERCADOS",4.9,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"GALLETAS DULCES","PAQUETE 280 GR. POLVORONES","MARINELA","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",12.15,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"GALLETAS DULCES","CAJA 752 GR. SANDWICH. OREO. CHOCOLATE CON RELLENO CREMOSO BLANCO","NABISCO","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",36.85,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"ATUN","LATA 170 GR. EN ACEITE","HERDEZ","PESCADOS Y MARISCOS EN CONSERVA","MERCADOS",10.35,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LECHE EN POLVO","ENTERA. BOLSA 500 GR.","ALPURA","LECHE PROCESADA","BASICOS",44.4,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"LECHE PASTEURIZADA","ENTERA. BOTELLA 1 LT.","AL-DIA","LECHE PROCESADA","BASICOS",10.45,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"YOGHURT","VASO 125 GR. FRESA","LALA","DERIVADOS DE LECHE","BASICOS",2.9,"2011-01-10 00:00:00.000","I.S.S.S.T.E.","TIENDA DE AUTOSERVICIO","I.S.S.S.T.E. SUCURSAL 7","CORUÑA S/N ESQ. SUR 65-A","DISTRITO FEDERAL","IZTACALCO                               ",19.400879,-99.131672
"PAN BLANCO BOLILLO","PIEZA","S/M","PAN","BASICOS",1.2,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"PAN DE CAJA","PAQUETE GRANDE 680 GR. INTEGRAL. REBANADO","WONDER. 100%","PAN","BASICOS",27,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"GALLETAS DULCES","PAQUETE 280 GR. POLVORONES","MARINELA","GALLETAS PASTAS Y HARINAS DE TRIGO","BASICOS",13,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
