producto|presentacion|marca|categoria|catalogo|precio|fecharegistro|cadenacomercial|giro|nombrecomercial|direccion|estado|municipio|latitud|longitud
detergente p/ropa|botella 1 lt liquido|mas delicada|detergentes y productos similares|basicos|349|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
brocoli|1 kg|s/m|hortalizas frescas|frutas y legumbres|265|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
melon|1 kg chino|s/m|frutas frescas|frutas y legumbres|135|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
horno de microondas|xo 1410 md 14 pies cubicos|mabe|aparatos electricos|electrodomesticos|1598|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
horno de microondas|wm-1107d00  o  wm-1107d 07 pies cubicos|whirlpool|aparatos electricos|electrodomesticos|1208|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
dvd / blu ray|dvp-sr200p 1 cd; dolby digital dts digital out; dvd; cd;mp3; jpeg; region 4|sony|aparatos electronicos|electrodomesticos|698|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
dvd / blu ray|dmp-bd45 1 cd; dolby true hd; dts-hd master audio; blu-ray; dvd;cd; usb; region 4|panasonic|aparatos electronicos|electrodomesticos|2348|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
frijol|bolsa 1 kg canario|san lazaro|legumbres secas|basicos|1939|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
zanahoria|1 kg grande|s/m|hortalizas frescas|frutas y legumbres|129|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
jitomate|1 kg saladette|s/m|hortalizas frescas|frutas y legumbres|149|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
col|1 kg morada|s/m|hortalizas frescas|frutas y legumbres|149|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
col|1 kg blanca|s/m|hortalizas frescas|frutas y legumbres|97|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
calabaza|1 kg italiana/japonesa|s/m|hortalizas frescas|frutas y legumbres|144|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
chiles en lata|lata 215 gr jalapenos en escabeche|san marcos|frutas y legumbres procesadas|basicos|61|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
chiles en lata|lata 220 gr chipotles adobados|la costena|frutas y legumbres procesadas|basicos|1091|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
chiles en lata|lata 220 gr jalapenos rajas|la costena|frutas y legumbres procesadas|basicos|49|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
frijol|bolsa 1 kg peruano|morelos independiente|legumbres secas|basicos|17|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
frijol|bolsa 1 kg negro queretaro|marca institucional|legumbres secas|basicos|159|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
frijol|bolsa 1 kg pinto|verde valle|legumbres secas|basicos|199|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
frijoles|lata 400 gr refritos negro|la costena|frutas y legumbres procesadas|basicos|1035|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
hortalizas congeladas|bolsa 500 gr|combinado primavera la huerta|frutas y legumbres procesadas|basicos|214|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
hortalizas congeladas|bolsa 500 gr|mezcla california la huerta|frutas y legumbres procesadas|basicos|207|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
hortalizas congeladas|bolsa 500 gr|granos de elote la huerta|frutas y legumbres procesadas|basicos|2635|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
chicharos en lata|lata 220 gr|clemente jacques|frutas y legumbres procesadas|basicos|5|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
pure de tomate|caja 1 kg condimentado|del fuerte|frutas y legumbres procesadas|basicos|1375|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
cafe soluble|frasco 200 gr tipo tradicional con azucar|internacional|cafe|basicos|4035|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
azucar|bolsa plastico 2 kg estandar morena|s/m|azucar|mercados|349|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
pi~na en almibar|lata 800 gr trocitos|herdez|frutas y legumbres procesadas|basicos|277|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
duraznos en almibar|lata 800 gr mitades|herdez|frutas y legumbres procesadas|basicos|2995|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
mermelada|frasco 270 gr pi~na|la coste~na|frutas y legumbres procesadas|basicos|1501|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
mermelada|frasco 270 gr fresa|mc cormick|frutas y legumbres procesadas|mercados|1196|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
mayonesa|frasco 390 gr con jugo de limones|mc cormick|condimentos|basicos|183|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
jugo de fruta|caja 1 lt zanaranja|v8 splash|refrescos envasados|basicos|1572|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
